2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:18	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:19	 	 file_Training_batchs.csv: File loaded successfully!!
