2021-08-19/19:11:43	 	Error while creating table: 'Session' object has no attribute 'close' 
2021-08-19/19:35:23	 	DB connection closed!!
2021-08-19/19:35:23	 	Tables created successfully!!
2021-08-19/19:35:23	 	DB connection closed!!
2021-08-19/19:35:23	 	Tables created successfully!!
2021-08-19/19:35:23	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:38	 	Tables created successfully!!
2021-08-19/19:35:38	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:39	 	Tables created successfully!!
2021-08-19/19:35:39	 	DB connection closed!!
2021-08-19/19:35:40	 	Tables created successfully!!
2021-08-19/19:35:40	 	DB connection closed!!
2021-08-19/19:35:40	 	Tables created successfully!!
2021-08-19/19:35:40	 	DB connection closed!!
2021-08-19/19:35:40	 	Tables created successfully!!
2021-08-19/19:35:40	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:05	 	Tables created successfully!!
2021-08-19/19:36:05	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:06	 	Tables created successfully!!
2021-08-19/19:36:06	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:28	 	Tables created successfully!!
2021-08-19/19:36:28	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/19:36:29	 	Tables created successfully!!
2021-08-19/19:36:29	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:55	 	Tables created successfully!!
2021-08-19/21:15:55	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:15:56	 	Tables created successfully!!
2021-08-19/21:15:56	 	DB connection closed!!
2021-08-19/21:44:39	 	Tables created successfully!!
2021-08-19/21:44:39	 	DB connection closed!!
2021-08-19/21:44:39	 	Tables created successfully!!
2021-08-19/21:44:39	 	DB connection closed!!
2021-08-19/21:44:39	 	Tables created successfully!!
2021-08-19/21:44:39	 	DB connection closed!!
2021-08-19/21:44:39	 	Tables created successfully!!
2021-08-19/21:44:39	 	DB connection closed!!
2021-08-19/21:44:39	 	Tables created successfully!!
2021-08-19/21:44:39	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:40	 	Tables created successfully!!
2021-08-19/21:44:40	 	DB connection closed!!
2021-08-19/21:44:41	 	Tables created successfully!!
2021-08-19/21:44:41	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:32	 	Tables created successfully!!
2021-08-19/21:45:32	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:45:33	 	Tables created successfully!!
2021-08-19/21:45:33	 	DB connection closed!!
2021-08-19/21:47:47	 	Tables created successfully!!
2021-08-19/21:47:47	 	DB connection closed!!
2021-08-19/21:47:47	 	Tables created successfully!!
2021-08-19/21:47:47	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
2021-08-19/21:47:48	 	Tables created successfully!!
2021-08-19/21:47:48	 	DB connection closed!!
